Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Country/Region,City,State/Province,Postal Code,Division,Region,Product ID,Product Name,Sales,Units,Gross Profit,Cost,Shipping Lead Time,Factory,Factory Latitude,Factory Longitude,Factory_Lat,Factory_Lon,Delay Flag,Factory → State Route,Route,Route ID,Factory → Region Route,Factory_Region_Route,Shipment Year,Shipment Month,Shipment Month Name,Shipment Quarter,Shipment Week,Shipment Day,Shipment Day of Week,Ship Year,Ship Month,Ship Month Name,Ship Quarter,Ship Day of Week,Order Year,Order Month,Order Month Name,Order Day,Order Day of Week,Route Efficiency Score
11,US-2021-167199-CHO-MIL-31000,2024-01-06,2026-07-03,Standard Class,167199,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,3.25,1,2.11,1.14,909.0,Wicked Choccy's,32.076176,-81.088371,32.076176,-81.088371,False,Wicked Choccy's → Kentucky,Wicked Choccy's → Kentucky,Wicked_Choccy_s_to_Kentucky,Wicked Choccy's → Gulf,Wicked Choccy's → Gulf,2026,7,Jul,3,27,3,4,2026,7,Jul,3,Friday,2024,1,Jan,6,5,0.4315
12,US-2021-130813-CHO-MIL-31000,2024-01-06,2026-07-01,Second Class,130813,United States,Los Angeles,California,90049,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,907.0,Wicked Choccy's,32.076176,-81.088371,32.076176,-81.088371,False,Wicked Choccy's → California,Wicked Choccy's → California,Wicked_Choccy_s_to_California,Wicked Choccy's → Pacific,Wicked Choccy's → Pacific,2026,7,Jul,3,27,1,2,2026,7,Jul,3,Wednesday,2024,1,Jan,6,5,0.5153
13,US-2021-167199-CHO-SCR-58000,2024-01-06,2026-07-03,Standard Class,167199,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar - Scrumdiddlyumptious,14.4,4,10.0,4.4,909.0,Lot's O' Nuts,32.881893,-111.768036,32.881893,-111.768036,False,Lot's O' Nuts → Kentucky,Lot's O' Nuts → Kentucky,Lot_s_O__Nuts_to_Kentucky,Lot's O' Nuts → Gulf,Lot's O' Nuts → Gulf,2026,7,Jul,3,27,3,4,2026,7,Jul,3,Friday,2024,1,Jan,6,5,0.4915
14,US-2021-167199-CHO-FUD-51000,2024-01-06,2026-07-03,Standard Class,167199,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,909.0,Lot's O' Nuts,32.881893,-111.768036,32.881893,-111.768036,False,Lot's O' Nuts → Kentucky,Lot's O' Nuts → Kentucky,Lot_s_O__Nuts_to_Kentucky,Lot's O' Nuts → Gulf,Lot's O' Nuts → Gulf,2026,7,Jul,3,27,3,4,2026,7,Jul,3,Friday,2024,1,Jan,6,5,0.4915
15,US-2021-105417-CHO-MIL-31000,2024-01-07,2026-07-05,Standard Class,105417,United States,Huntsville,Texas,77340,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,910.0,Wicked Choccy's,32.076176,-81.088371,32.076176,-81.088371,False,Wicked Choccy's → Texas,Wicked Choccy's → Texas,Wicked_Choccy_s_to_Texas,Wicked Choccy's → Interior,Wicked Choccy's → Interior,2026,7,Jul,3,27,5,6,2026,7,Jul,3,Sunday,2024,1,Jan,7,6,0.5145
16,US-2021-105417-CHO-TRI-54000,2024-01-07,2026-07-05,Standard Class,105417,United States,Huntsville,Texas,77340,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,26.25,7,17.15,9.1,910.0,Wicked Choccy's,32.076176,-81.088371,32.076176,-81.088371,False,Wicked Choccy's → Texas,Wicked Choccy's → Texas,Wicked_Choccy_s_to_Texas,Wicked Choccy's → Interior,Wicked Choccy's → Interior,2026,7,Jul,3,27,5,6,2026,7,Jul,3,Sunday,2024,1,Jan,7,6,0.5145
17,US-2021-135405-CHO-TRI-54000,2024-01-09,2026-07-06,Standard Class,135405,United States,Laredo,Texas,78041,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,909.0,Wicked Choccy's,32.076176,-81.088371,32.076176,-81.088371,False,Wicked Choccy's → Texas,Wicked Choccy's → Texas,Wicked_Choccy_s_to_Texas,Wicked Choccy's → Interior,Wicked Choccy's → Interior,2026,7,Jul,3,28,6,0,2026,7,Jul,3,Monday,2024,1,Jan,9,1,0.5145
18,US-2021-135405-CHO-TRI-54000,2024-01-09,2026-07-06,Standard Class,135405,United States,Laredo,Texas,78041,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,909.0,Wicked Choccy's,32.076176,-81.088371,32.076176,-81.088371,False,Wicked Choccy's → Texas,Wicked Choccy's → Texas,Wicked_Choccy_s_to_Texas,Wicked Choccy's → Interior,Wicked Choccy's → Interior,2026,7,Jul,3,28,6,0,2026,7,Jul,3,Monday,2024,1,Jan,9,1,0.5145
19,US-2021-149020-CHO-MIL-31000,2024-01-10,2026-07-08,Standard Class,149020,United States,Springfield,Virginia,22153,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,3.25,1,2.11,1.14,910.0,Wicked Choccy's,32.076176,-81.088371,32.076176,-81.088371,False,Wicked Choccy's → Virginia,Wicked Choccy's → Virginia,Wicked_Choccy_s_to_Virginia,Wicked Choccy's → Gulf,Wicked Choccy's → Gulf,2026,7,Jul,3,28,8,2,2026,7,Jul,3,Wednesday,2024,1,Jan,10,2,0.621
20,US-2021-149020-OTH-GUM-21000,2024-01-10,2026-07-08,Standard Class,149020,United States,Springfield,Virginia,22153,Other,Gulf,OTH-GUM-21000,Wonka Gum,1.25,1,0.65,0.6,910.0,Secret Factory,41.446333,-90.565487,41.446333,-90.565487,False,Secret Factory → Virginia,Secret Factory → Virginia,Secret_Factory_to_Virginia,Secret Factory → Gulf,Secret Factory → Gulf,2026,7,Jul,3,28,8,2,2026,7,Jul,3,Wednesday,2024,1,Jan,10,2,0.7999
21,US-2021-130092-CHO-MIL-31000,2024-01-11,2026-07-07,First Class,130092,United States,Dover,Delaware,19901,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,908.0,Wicked Choccy's,32.076176,-81.088371,32.076176,-81.088371,False,Wicked Choccy's → Delaware,Wicked Choccy's → Delaware,Wicked_Choccy_s_to_Delaware,Wicked Choccy's → Atlantic,Wicked Choccy's → Atlantic,2026,7,Jul,3,28,7,1,2026,7,Jul,3,Tuesday,2024,1,Jan,11,3,0.5675
22,US-2021-157147-CHO-MIL-31000,2024-01-13,2026-07-11,Standard Class,157147,United States,San Francisco,California,94109,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,910.0,Wicked Choccy's,32.076176,-81.088371,32.076176,-81.088371,False,Wicked Choccy's → California,Wicked Choccy's → California,Wicked_Choccy_s_to_California,Wicked Choccy's → Pacific,Wicked Choccy's → Pacific,2026,7,Jul,3,28,11,5,2026,7,Jul,3,Saturday,2024,1,Jan,13,5,0.5153
23,US-2021-109232-CHO-NUT-13000,2024-01-13,2026-07-09,Second Class,109232,United States,Mount Pleasant,South Carolina,29464,Chocolate,Gulf,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,20.94,6,14.94,6.0,908.0,Lot's O' Nuts,32.881893,-111.768036,32.881893,-111.768036,False,Lot's O' Nuts → South Carolina,Lot's O' Nuts → South Carolina,Lot_s_O__Nuts_to_South_Carolina,Lot's O' Nuts → Gulf,Lot's O' Nuts → Gulf,2026,7,Jul,3,28,9,3,2026,7,Jul,3,Thursday,2024,1,Jan,13,5,0.6483
24,US-2021-157147-CHO-MIL-31000,2024-01-13,2026-07-11,Standard Class,157147,United States,San Francisco,California,94109,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,16.25,5,10.55,5.7,910.0,Wicked Choccy's,32.076176,-81.088371,32.076176,-81.088371,False,Wicked Choccy's → California,Wicked Choccy's → California,Wicked_Choccy_s_to_California,Wicked Choccy's → Pacific,Wicked Choccy's → Pacific,2026,7,Jul,3,28,11,5,2026,7,Jul,3,Saturday,2024,1,Jan,13,5,0.5153
25,US-2021-118192-CHO-SCR-58000,2024-01-13,2026-07-11,Standard Class,118192,United States,Newark,Ohio,43055,Chocolate,Atlantic,CHO-SCR-58000,Wonka Bar - Scrumdiddlyumptious,7.2,2,5.0,2.2,910.0,Lot's O' Nuts,32.881893,-111.768036,32.881893,-111.768036,False,Lot's O' Nuts → Ohio,Lot's O' Nuts → Ohio,Lot_s_O__Nuts_to_Ohio,Lot's O' Nuts → Atlantic,Lot's O' Nuts → Atlantic,2026,7,Jul,3,28,11,5,2026,7,Jul,3,Saturday,2024,1,Jan,13,5,0.4925
26,US-2021-162775-CHO-TRI-54000,2024-01-13,2026-07-08,Second Class,162775,United States,Bossier City,Louisiana,71111,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,907.0,Wicked Choccy's,32.076176,-81.088371,32.076176,-81.088371,False,Wicked Choccy's → Louisiana,Wicked Choccy's → Louisiana,Wicked_Choccy_s_to_Louisiana,Wicked Choccy's → Gulf,Wicked Choccy's → Gulf,2026,7,Jul,3,28,8,2,2026,7,Jul,3,Wednesday,2024,1,Jan,13,5,0.5609
27,US-2021-162775-OTH-KAZ-38000,2024-01-13,2026-07-08,Second Class,162775,United States,Bossier City,Louisiana,71111,Other,Gulf,OTH-KAZ-38000,Kazookles,9.75,3,0.75,9.0,907.0,The Other Factory,35.1175,-89.971107,35.1175,-89.971107,False,The Other Factory → Louisiana,The Other Factory → Louisiana,The_Other_Factory_to_Louisiana,The Other Factory → Gulf,The Other Factory → Gulf,2026,7,Jul,3,28,8,2,2026,7,Jul,3,Wednesday,2024,1,Jan,13,5,0.9995
28,US-2021-162775-CHO-MIL-31000,2024-01-13,2026-07-08,Second Class,162775,United States,Bossier City,Louisiana,71111,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,907.0,Wicked Choccy's,32.076176,-81.088371,32.076176,-81.088371,False,Wicked Choccy's → Louisiana,Wicked Choccy's → Louisiana,Wicked_Choccy_s_to_Louisiana,Wicked Choccy's → Gulf,Wicked Choccy's → Gulf,2026,7,Jul,3,28,8,2,2026,7,Jul,3,Wednesday,2024,1,Jan,13,5,0.5609
29,US-2021-118192-CHO-SCR-58000,2024-01-13,2026-07-11,Standard Class,118192,United States,Newark,Ohio,43055,Chocolate,Atlantic,CHO-SCR-58000,Wonka Bar - Scrumdiddlyumptious,25.2,7,17.5,7.7,910.0,Lot's O' Nuts,32.881893,-111.768036,32.881893,-111.768036,False,Lot's O' Nuts → Ohio,Lot's O' Nuts → Ohio,Lot_s_O__Nuts_to_Ohio,Lot's O' Nuts → Atlantic,Lot's O' Nuts → Atlantic,2026,7,Jul,3,28,11,5,2026,7,Jul,3,Saturday,2024,1,Jan,13,5,0.4925
30,US-2021-162775-CHO-MIL-31000,2024-01-13,2026-07-08,Second Class,162775,United States,Bossier City,Louisiana,71111,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,19.5,6,12.66,6.84,907.0,Wicked Choccy's,32.076176,-81.088371,32.076176,-81.088371,False,Wicked Choccy's → Louisiana,Wicked Choccy's → Louisiana,Wicked_Choccy_s_to_Louisiana,Wicked Choccy's → Gulf,Wicked Choccy's → Gulf,2026,7,Jul,3,28,8,2,2026,7,Jul,3,Wednesday,2024,1,Jan,13,5,0.5609
31,US-2021-157147-CHO-NUT-13000,2024-01-13,2026-07-11,Standard Class,157147,United States,San Francisco,California,94109,Chocolate,Pacific,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,17.45,5,12.45,5.0,910.0,Lot's O' Nuts,32.881893,-111.768036,32.881893,-111.768036,False,Lot's O' Nuts → California,Lot's O' Nuts → California,Lot_s_O__Nuts_to_California,Lot's O' Nuts → Pacific,Lot's O' Nuts → Pacific,2026,7,Jul,3,28,11,5,2026,7,Jul,3,Saturday,2024,1,Jan,13,5,0.5116
32,US-2021-162775-CHO-SCR-58000,2024-01-13,2026-07-08,Second Class,162775,United States,Bossier City,Louisiana,71111,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar - Scrumdiddlyumptious,21.6,6,15.0,6.6,907.0,Lot's O' Nuts,32.881893,-111.768036,32.881893,-111.768036,False,Lot's O' Nuts → Louisiana,Lot's O' Nuts → Louisiana,Lot_s_O__Nuts_to_Louisiana,Lot's O' Nuts → Gulf,Lot's O' Nuts → Gulf,2026,7,Jul,3,28,8,2,2026,7,Jul,3,Wednesday,2024,1,Jan,13,5,0.5593
33,US-2021-149524-OTH-GUM-21000,2024-01-14,2026-07-08,First Class,149524,United States,Philadelphia,Pennsylvania,19140,Other,Atlantic,OTH-GUM-21000,Wonka Gum,5.0,4,2.6,2.4,906.0,Secret Factory,41.446333,-90.565487,41.446333,-90.565487,False,Secret Factory → Pennsylvania,Secret Factory → Pennsylvania,Secret_Factory_to_Pennsylvania,Secret Factory → Atlantic,Secret Factory → Atlantic,2026,7,Jul,3,28,8,2,2026,7,Jul,3,Wednesday,2024,1,Jan,14,6,0.4955
34,US-2021-103366-CHO-SCR-58000,2024-01-15,2026-07-10,First Class,103366,United States,Roswell,Georgia,30076,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar - Scrumdiddlyumptious,18.0,5,12.5,5.5,907.0,Lot's O' Nuts,32.881893,-111.768036,32.881893,-111.768036,False,Lot's O' Nuts → Georgia,Lot's O' Nuts → Georgia,Lot_s_O__Nuts_to_Georgia,Lot's O' Nuts → Gulf,Lot's O' Nuts → Gulf,2026,7,Jul,3,28,10,4,2026,7,Jul,3,Friday,2024,1,Jan,15,0,0.508
35,US-2021-115791-CHO-TRI-54000,2024-01-16,2026-07-11,Second Class,115791,United States,Philadelphia,Pennsylvania,19134,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,22.5,6,14.7,7.8,907.0,Wicked Choccy's,32.076176,-81.088371,32.076176,-81.088371,False,Wicked Choccy's → Pennsylvania,Wicked Choccy's → Pennsylvania,Wicked_Choccy_s_to_Pennsylvania,Wicked Choccy's → Atlantic,Wicked Choccy's → Atlantic,2026,7,Jul,3,28,11,5,2026,7,Jul,3,Saturday,2024,1,Jan,16,1,0.5002
36,US-2021-115791-CHO-FUD-51000,2024-01-16,2026-07-11,Second Class,115791,United States,Philadelphia,Pennsylvania,19134,Chocolate,Atlantic,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,907.0,Lot's O' Nuts,32.881893,-111.768036,32.881893,-111.768036,False,Lot's O' Nuts → Pennsylvania,Lot's O' Nuts → Pennsylvania,Lot_s_O__Nuts_to_Pennsylvania,Lot's O' Nuts → Atlantic,Lot's O' Nuts → Atlantic,2026,7,Jul,3,28,11,5,2026,7,Jul,3,Saturday,2024,1,Jan,16,1,0.5583
37,US-2021-115791-CHO-TRI-54000,2024-01-16,2026-07-11,Second Class,115791,United States,Philadelphia,Pennsylvania,19134,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,907.0,Wicked Choccy's,32.076176,-81.088371,32.076176,-81.088371,False,Wicked Choccy's → Pennsylvania,Wicked Choccy's → Pennsylvania,Wicked_Choccy_s_to_Pennsylvania,Wicked Choccy's → Atlantic,Wicked Choccy's → Atlantic,2026,7,Jul,3,28,11,5,2026,7,Jul,3,Saturday,2024,1,Jan,16,1,0.5002
38,US-2021-115791-CHO-SCR-58000,2024-01-16,2026-07-11,Second Class,115791,United States,Philadelphia,Pennsylvania,19134,Chocolate,Atlantic,CHO-SCR-58000,Wonka Bar - Scrumdiddlyumptious,10.8,3,7.5,3.3,907.0,Lot's O' Nuts,32.881893,-111.768036,32.881893,-111.768036,False,Lot's O' Nuts → Pennsylvania,Lot's O' Nuts → Pennsylvania,Lot_s_O__Nuts_to_Pennsylvania,Lot's O' Nuts → Atlantic,Lot's O' Nuts → Atlantic,2026,7,Jul,3,28,11,5,2026,7,Jul,3,Saturday,2024,1,Jan,16,1,0.5583
39,US-2021-123477-CHO-NUT-13000,2024-01-18,2026-07-14,Second Class,123477,United States,Springfield,Oregon,97477,Chocolate,Pacific,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,13.96,4,9.96,4.0,908.0,Lot's O' Nuts,32.881893,-111.768036,32.881893,-111.768036,False,Lot's O' Nuts → Oregon,Lot's O' Nuts → Oregon,Lot_s_O__Nuts_to_Oregon,Lot's O' Nuts → Pacific,Lot's O' Nuts → Pacific,2026,7,Jul,3,29,14,1,2026,7,Jul,3,Tuesday,2024,1,Jan,18,3,0.5975
40,US-2021-146591-CHO-TRI-54000,2024-01-19,2026-07-13,First Class,146591,United States,Scottsdale,Arizona,85254,Chocolate,Pacific,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,18.75,5,12.25,6.5,906.0,Wicked Choccy's,32.076176,-81.088371,32.076176,-81.088371,False,Wicked Choccy's → Arizona,Wicked Choccy's → Arizona,Wicked_Choccy_s_to_Arizona,Wicked Choccy's → Pacific,Wicked Choccy's → Pacific,2026,7,Jul,3,29,13,0,2026,7,Jul,3,Monday,2024,1,Jan,19,4,0.4367
41,US-2021-146591-CHO-FUD-51000,2024-01-19,2026-07-13,First Class,146591,United States,Scottsdale,Arizona,85254,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,36.0,10,24.0,12.0,906.0,Lot's O' Nuts,32.881893,-111.768036,32.881893,-111.768036,False,Lot's O' Nuts → Arizona,Lot's O' Nuts → Arizona,Lot_s_O__Nuts_to_Arizona,Lot's O' Nuts → Pacific,Lot's O' Nuts → Pacific,2026,7,Jul,3,29,13,0,2026,7,Jul,3,Monday,2024,1,Jan,19,4,0.523
42,US-2021-146591-CHO-TRI-54000,2024-01-19,2026-07-13,First Class,146591,United States,Scottsdale,Arizona,85254,Chocolate,Pacific,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,18.75,5,12.25,6.5,906.0,Wicked Choccy's,32.076176,-81.088371,32.076176,-81.088371,False,Wicked Choccy's → Arizona,Wicked Choccy's → Arizona,Wicked_Choccy_s_to_Arizona,Wicked Choccy's → Pacific,Wicked Choccy's → Pacific,2026,7,Jul,3,29,13,0,2026,7,Jul,3,Monday,2024,1,Jan,19,4,0.4367
43,US-2021-146591-CHO-FUD-51000,2024-01-19,2026-07-13,First Class,146591,United States,Scottsdale,Arizona,85254,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,14.4,4,9.6,4.8,906.0,Lot's O' Nuts,32.881893,-111.768036,32.881893,-111.768036,False,Lot's O' Nuts → Arizona,Lot's O' Nuts → Arizona,Lot_s_O__Nuts_to_Arizona,Lot's O' Nuts → Pacific,Lot's O' Nuts → Pacific,2026,7,Jul,3,29,13,0,2026,7,Jul,3,Monday,2024,1,Jan,19,4,0.523
44,US-2021-147627-CHO-TRI-54000,2024-01-20,2026-07-19,Standard Class,147627,United States,Jonesboro,Arkansas,72401,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,911.0,Wicked Choccy's,32.076176,-81.088371,32.076176,-81.088371,False,Wicked Choccy's → Arkansas,Wicked Choccy's → Arkansas,Wicked_Choccy_s_to_Arkansas,Wicked Choccy's → Gulf,Wicked Choccy's → Gulf,2026,7,Jul,3,29,19,6,2026,7,Jul,3,Sunday,2024,1,Jan,20,5,0.578
45,US-2021-167927-CHO-FUD-51000,2024-01-20,2026-07-19,Standard Class,167927,United States,Westland,Michigan,48185,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,911.0,Lot's O' Nuts,32.881893,-111.768036,32.881893,-111.768036,False,Lot's O' Nuts → Michigan,Lot's O' Nuts → Michigan,Lot_s_O__Nuts_to_Michigan,Lot's O' Nuts → Interior,Lot's O' Nuts → Interior,2026,7,Jul,3,29,19,6,2026,7,Jul,3,Sunday,2024,1,Jan,20,5,0.5393
46,US-2021-167927-CHO-FUD-51000,2024-01-20,2026-07-19,Standard Class,167927,United States,Westland,Michigan,48185,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,911.0,Lot's O' Nuts,32.881893,-111.768036,32.881893,-111.768036,False,Lot's O' Nuts → Michigan,Lot's O' Nuts → Michigan,Lot_s_O__Nuts_to_Michigan,Lot's O' Nuts → Interior,Lot's O' Nuts → Interior,2026,7,Jul,3,29,19,6,2026,7,Jul,3,Sunday,2024,1,Jan,20,5,0.5393
